IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
99.79.38.32,443,0,false,ORD,North America,Chicago,247,0.00
13.245.109.246,2052,0,false,ORD,North America,Chicago,319,0.00
13.247.97.250,8443,0,false,ORD,North America,Chicago,298,0.00
13.245.157.227,2095,0,false,ORD,North America,Chicago,316,0.00
13.246.201.148,2083,0,false,ORD,North America,Chicago,315,0.00
13.245.157.227,2083,0,false,ORD,North America,Chicago,302,0.00
13.246.7.97,2082,0,false,ORD,North America,Chicago,308,0.00
13.246.5.206,2053,0,false,ORD,North America,Chicago,304,0.00
99.79.38.32,2083,0,false,ORD,North America,Chicago,247,0.00
13.245.109.246,2083,0,false,ORD,North America,Chicago,313,0.00
13.244.98.139,2053,0,false,ORD,North America,Chicago,301,0.00
99.79.38.32,2082,0,false,ORD,North America,Chicago,240,0.00
13.246.230.112,2083,0,false,ORD,North America,Chicago,301,0.00
13.246.5.206,2095,0,false,ORD,North America,Chicago,301,0.00
13.246.11.107,8880,0,false,ORD,North America,Chicago,302,0.00
13.245.255.119,8880,0,false,ORD,North America,Chicago,297,0.00
13.245.75.155,8443,0,false,ORD,North America,Chicago,322,0.00
13.246.3.108,2096,0,false,ORD,North America,Chicago,320,0.00
13.245.157.227,8080,0,false,ORD,North America,Chicago,302,0.00
13.247.67.27,8080,0,false,ORD,North America,Chicago,306,0.00
13.247.98.217,2086,0,false,ORD,North America,Chicago,314,0.00
13.245.28.205,2083,0,false,ORD,North America,Chicago,326,0.00
13.245.237.206,2053,0,false,ORD,North America,Chicago,323,0.00
13.245.27.153,2087,0,false,ORD,North America,Chicago,322,0.00
13.245.255.119,2096,0,false,ORD,North America,Chicago,299,0.00
13.247.64.16,2095,0,false,ORD,North America,Chicago,319,0.00
13.247.90.124,2083,0,false,ORD,North America,Chicago,326,0.00
13.246.201.148,8880,0,false,ORD,North America,Chicago,304,0.00
13.247.62.71,8443,0,false,ORD,North America,Chicago,313,0.00
13.246.11.107,8080,0,false,ORD,North America,Chicago,305,0.00
13.244.98.139,2087,0,false,ORD,North America,Chicago,309,0.00
13.245.230.93,2096,0,false,ORD,North America,Chicago,319,0.00
13.245.157.0,8080,0,false,ORD,North America,Chicago,317,0.00
13.246.7.97,2095,0,false,ORD,North America,Chicago,313,0.00
13.246.38.255,2082,0,false,ORD,North America,Chicago,321,0.00
13.244.92.83,2052,0,false,ORD,North America,Chicago,315,0.00
13.247.90.124,2082,0,false,ORD,North America,Chicago,307,0.00
13.246.197.194,2095,0,false,ORD,North America,Chicago,302,0.00
13.246.7.97,2096,0,false,ORD,North America,Chicago,303,0.00
13.247.100.62,8080,0,false,ORD,North America,Chicago,308,0.00
13.247.101.216,2096,0,false,ORD,North America,Chicago,319,0.00
13.247.64.16,2083,0,false,ORD,North America,Chicago,313,0.00
13.244.135.184,8880,0,false,ORD,North America,Chicago,302,0.00
13.245.28.205,443,0,false,ORD,North America,Chicago,326,0.00
13.244.135.184,8443,0,false,ORD,North America,Chicago,312,0.00
13.246.5.206,8080,0,false,ORD,North America,Chicago,311,0.00
13.247.101.216,80,0,false,ORD,North America,Chicago,325,0.00
13.247.100.62,443,0,false,ORD,North America,Chicago,320,0.00
13.245.230.93,2082,0,false,ORD,North America,Chicago,317,0.00
13.246.38.255,2053,0,false,ORD,North America,Chicago,301,0.00
13.244.92.83,2096,0,false,ORD,North America,Chicago,313,0.00
13.247.101.216,8443,0,false,ORD,North America,Chicago,303,0.00
13.245.75.155,2052,0,false,ORD,North America,Chicago,308,0.00
13.246.38.255,8080,0,false,ORD,North America,Chicago,322,0.00
13.247.100.62,2083,0,false,ORD,North America,Chicago,298,0.00
13.246.5.206,2083,0,false,ORD,North America,Chicago,299,0.00
13.246.5.206,2086,0,false,ORD,North America,Chicago,305,0.00
13.246.240.4,2083,0,false,ORD,North America,Chicago,314,0.00
13.244.92.83,2083,0,false,ORD,North America,Chicago,306,0.00
13.244.92.83,8080,0,false,ORD,North America,Chicago,306,0.00
13.244.92.83,2053,0,false,ORD,North America,Chicago,301,0.00
13.247.97.250,2053,0,false,ORD,North America,Chicago,324,0.00
13.244.98.19,8880,0,false,ORD,North America,Chicago,307,0.00
13.246.38.255,8443,0,false,ORD,North America,Chicago,308,0.00
13.246.240.4,443,0,false,ORD,North America,Chicago,302,0.00
13.247.98.217,2087,0,false,ORD,North America,Chicago,324,0.00
13.245.28.205,80,0,false,ORD,North America,Chicago,310,0.00
13.245.255.119,2082,0,false,ORD,North America,Chicago,320,0.00
13.247.98.217,2052,0,false,ORD,North America,Chicago,308,0.00
13.247.67.27,2053,0,false,ORD,North America,Chicago,303,0.00
13.246.221.196,8880,0,false,ORD,North America,Chicago,297,0.00
13.246.11.107,80,0,false,ORD,North America,Chicago,297,0.00
13.246.221.196,2087,0,false,ORD,North America,Chicago,310,0.00
13.246.230.112,8080,0,false,ORD,North America,Chicago,299,0.00
13.246.3.108,2083,0,false,ORD,North America,Chicago,311,0.00
13.247.90.124,80,0,false,ORD,North America,Chicago,327,0.00
13.50.105.250,80,0,false,ARN,Europe,Stockholm,184,0.00
13.246.5.206,8880,0,false,ORD,North America,Chicago,310,0.00
13.245.109.246,8080,0,false,ORD,North America,Chicago,308,0.00
13.245.157.0,8880,0,false,ORD,North America,Chicago,315,0.00
13.246.198.252,2095,0,false,ORD,North America,Chicago,324,0.00
13.246.201.148,2086,0,false,ORD,North America,Chicago,318,0.00
13.245.157.0,2096,0,false,ORD,North America,Chicago,299,0.00
13.245.109.246,2086,0,false,ORD,North America,Chicago,299,0.00
13.245.75.155,2053,0,false,ORD,North America,Chicago,306,0.00
13.245.75.155,8080,0,false,ORD,North America,Chicago,326,0.00
13.245.255.119,2053,0,false,ORD,North America,Chicago,328,0.00
13.244.98.19,443,0,false,ORD,North America,Chicago,319,0.00
13.244.92.83,2095,0,false,ORD,North America,Chicago,315,0.00
13.247.97.250,2086,0,false,ORD,North America,Chicago,314,0.00
13.246.198.252,80,0,false,ORD,North America,Chicago,302,0.00
13.246.198.252,443,0,false,ORD,North America,Chicago,306,0.00
13.247.90.124,2086,0,false,ORD,North America,Chicago,324,0.00
13.245.28.205,8443,0,false,ORD,North America,Chicago,326,0.00
13.244.98.19,2083,0,false,ORD,North America,Chicago,309,0.00
13.48.136.135,80,0,false,ARN,Europe,Stockholm,199,0.00
13.245.157.227,2096,0,false,ORD,North America,Chicago,304,0.00
13.246.230.112,2087,0,false,ORD,North America,Chicago,302,0.00
13.245.75.155,2082,0,false,ORD,North America,Chicago,312,0.00
13.245.255.119,80,0,false,ORD,North America,Chicago,297,0.00
13.247.98.217,8080,0,false,ORD,North America,Chicago,316,0.00
13.244.98.19,2082,0,false,ORD,North America,Chicago,311,0.00
13.246.198.252,8880,0,false,ORD,North America,Chicago,327,0.00
13.246.11.107,2053,0,false,ORD,North America,Chicago,297,0.00
13.245.28.205,2052,0,false,ORD,North America,Chicago,301,0.00
13.246.38.255,443,0,false,ORD,North America,Chicago,299,0.00
13.244.92.83,2087,0,false,ORD,North America,Chicago,303,0.00
13.245.157.227,8880,0,false,ORD,North America,Chicago,311,0.00
13.245.75.155,2095,0,false,ORD,North America,Chicago,305,0.00
13.247.100.62,2095,0,false,ORD,North America,Chicago,314,0.00
13.246.230.112,2052,0,false,ORD,North America,Chicago,317,0.00
13.245.109.246,2095,0,false,ORD,North America,Chicago,305,0.00
13.245.157.0,80,0,false,ORD,North America,Chicago,306,0.00
13.245.28.205,2053,0,false,ORD,North America,Chicago,317,0.00
13.246.7.97,2086,0,false,ORD,North America,Chicago,302,0.00
13.247.90.124,443,0,false,ORD,North America,Chicago,314,0.00
13.246.11.107,2087,0,false,ORD,North America,Chicago,314,0.00
13.247.100.62,2096,0,false,ORD,North America,Chicago,321,0.00
13.246.38.255,2086,0,false,ORD,North America,Chicago,308,0.00
13.247.64.16,8880,0,false,ORD,North America,Chicago,301,0.00
13.246.221.196,2082,0,false,ORD,North America,Chicago,323,0.00
13.246.230.112,443,0,false,ORD,North America,Chicago,316,0.00
13.245.230.93,2083,0,false,ORD,North America,Chicago,304,0.00
13.247.67.27,2096,0,false,ORD,North America,Chicago,308,0.00
13.247.67.27,8880,0,false,ORD,North America,Chicago,329,0.00
13.247.97.250,2087,0,false,ORD,North America,Chicago,317,0.00
13.246.3.108,8443,0,false,ORD,North America,Chicago,328,0.00
13.245.237.206,8880,0,false,ORD,North America,Chicago,302,0.00
13.244.98.139,2096,0,false,ORD,North America,Chicago,321,0.00
13.246.11.107,2086,0,false,ORD,North America,Chicago,307,0.00
13.246.5.206,2087,0,false,ORD,North America,Chicago,310,0.00
13.245.109.246,443,0,false,ORD,North America,Chicago,299,0.00
13.246.197.194,2082,0,false,ORD,North America,Chicago,297,0.00
13.244.92.83,2086,0,false,ORD,North America,Chicago,313,0.00
13.246.38.255,2052,0,false,ORD,North America,Chicago,315,0.00
13.245.255.119,8443,0,false,ORD,North America,Chicago,304,0.00
13.244.98.19,8443,0,false,ORD,North America,Chicago,331,0.00
13.245.75.155,443,0,false,ORD,North America,Chicago,324,0.00
13.245.27.153,2083,0,false,ORD,North America,Chicago,314,0.00
13.244.135.184,2096,0,false,ORD,North America,Chicago,306,0.00
13.244.92.83,80,0,false,ORD,North America,Chicago,299,0.00
13.245.237.206,8443,0,false,ORD,North America,Chicago,305,0.00
13.245.157.0,2082,0,false,ORD,North America,Chicago,304,0.00
13.247.100.62,2052,0,false,ORD,North America,Chicago,328,0.00
13.246.7.97,8443,0,false,ORD,North America,Chicago,299,0.00
13.246.198.252,2086,0,false,ORD,North America,Chicago,297,0.00
13.247.90.124,8080,0,false,ORD,North America,Chicago,317,0.00
13.246.11.107,2095,0,false,ORD,North America,Chicago,302,0.00
13.245.109.246,8443,0,false,ORD,North America,Chicago,324,0.00
13.245.27.153,2082,0,false,ORD,North America,Chicago,304,0.00
13.245.230.93,2087,0,false,ORD,North America,Chicago,303,0.00
13.244.98.19,80,0,false,ORD,North America,Chicago,304,0.00
13.246.201.148,80,0,false,ORD,North America,Chicago,299,0.00
13.247.62.71,2086,0,false,ORD,North America,Chicago,302,0.00
13.246.7.97,8080,0,false,ORD,North America,Chicago,301,0.00
13.245.230.93,8080,0,false,ORD,North America,Chicago,320,0.00
13.247.100.62,2082,0,false,ORD,North America,Chicago,321,0.00
13.246.221.196,2096,0,false,ORD,North America,Chicago,301,0.00
13.244.98.19,2053,0,false,ORD,North America,Chicago,324,0.00
13.246.3.108,2087,0,false,ORD,North America,Chicago,301,0.00
13.246.3.108,80,0,false,ORD,North America,Chicago,319,0.00
13.244.135.184,2095,0,false,ORD,North America,Chicago,297,0.00
13.246.230.112,8443,0,false,ORD,North America,Chicago,330,0.00
13.246.11.107,8443,0,false,ORD,North America,Chicago,315,0.00
13.245.75.155,2086,0,false,ORD,North America,Chicago,306,0.00
13.244.92.83,2082,0,false,ORD,North America,Chicago,317,0.00
13.244.98.19,2086,0,false,ORD,North America,Chicago,303,0.00
13.245.109.246,2053,0,false,ORD,North America,Chicago,324,0.00
13.246.5.206,80,0,false,ORD,North America,Chicago,311,0.00
13.247.97.250,2052,0,false,ORD,North America,Chicago,310,0.00
13.247.97.250,2082,0,false,ORD,North America,Chicago,322,0.00
13.247.98.217,2083,0,false,ORD,North America,Chicago,302,0.00
13.246.230.112,2095,0,false,ORD,North America,Chicago,324,0.00
13.247.64.16,2082,0,false,ORD,North America,Chicago,308,0.00
13.245.157.227,80,0,false,ORD,North America,Chicago,301,0.00
15.228.238.38,2095,0,false,ORD,North America,Chicago,345,0.00
13.247.62.71,2082,0,false,ORD,North America,Chicago,306,0.00
13.245.27.153,8443,0,false,ORD,North America,Chicago,305,0.00
15.228.220.84,2083,0,false,ORD,North America,Chicago,348,0.00
15.228.238.38,2052,0,false,ORD,North America,Chicago,342,0.00
15.228.238.38,2082,0,false,ORD,North America,Chicago,349,0.00
13.245.157.0,2086,0,false,ORD,North America,Chicago,300,0.00
13.245.157.227,8443,0,false,ORD,North America,Chicago,306,0.00
18.230.227.254,80,0,false,ORD,North America,Chicago,348,0.00
54.233.119.172,80,0,false,ORD,North America,Chicago,356,0.00
18.229.132.83,2082,0,false,ORD,North America,Chicago,345,0.00
18.230.227.254,2086,0,false,ORD,North America,Chicago,343,0.00
18.229.132.83,2083,0,false,ORD,North America,Chicago,353,0.00
18.229.132.83,8080,0,false,ORD,North America,Chicago,346,0.00
15.228.100.56,2096,0,false,ORD,North America,Chicago,347,0.00
54.94.204.20,80,0,false,ORD,North America,Chicago,342,0.00
15.228.220.84,2053,0,false,ORD,North America,Chicago,350,0.00
18.230.227.254,8080,0,false,ORD,North America,Chicago,346,0.00
15.228.238.38,2086,0,false,ORD,North America,Chicago,354,0.00
15.228.238.38,2087,0,false,ORD,North America,Chicago,353,0.00
18.229.132.83,2095,0,false,ORD,North America,Chicago,344,0.00
15.228.238.38,80,0,false,ORD,North America,Chicago,354,0.00
18.229.132.83,8443,0,false,ORD,North America,Chicago,358,0.00
18.230.227.254,2087,0,false,ORD,North America,Chicago,346,0.00
15.228.192.27,2087,0,false,ORD,North America,Chicago,348,0.00
54.233.223.193,2095,0,false,ORD,North America,Chicago,350,0.00
15.228.100.56,2095,0,false,ORD,North America,Chicago,348,0.00
15.228.100.56,2053,0,false,ORD,North America,Chicago,343,0.00
18.138.112.254,80,0,false,SIN,Asia Pacific,Singapore,27,0.00
