IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.91.29.251,443,443,true,FRA,Europe,Frankfurt,175,10.73
34.147.114.42,443,443,true,FRA,Europe,Frankfurt,178,10.73
34.90.189.141,443,443,true,FRA,Europe,Frankfurt,177,10.71
34.154.31.203,443,443,true,MUC,Europe,Munich,188,10.71
34.65.220.67,443,443,true,FRA,Europe,Frankfurt,176,10.71
34.65.200.10,443,443,true,FRA,Europe,Frankfurt,174,10.70
35.204.137.199,443,443,true,CDG,Europe,Paris,181,10.70
34.65.127.249,443,443,true,FRA,Europe,Frankfurt,162,10.70
34.65.111.146,443,443,true,FRA,Europe,Frankfurt,168,10.70
34.116.196.218,443,443,true,FRA,Europe,Frankfurt,288,10.69
34.91.114.30,443,443,true,AMS,Europe,Amsterdam,176,10.69
34.65.37.14,443,443,true,FRA,Europe,Frankfurt,167,10.69
34.32.187.0,443,443,true,FRA,Europe,Frankfurt,176,10.69
34.91.9.40,443,443,true,FRA,Europe,Frankfurt,179,10.68
34.32.178.41,443,443,true,FRA,Europe,Frankfurt,173,10.68
34.90.71.209,443,443,true,FRA,Europe,Frankfurt,179,10.68
34.91.9.40,443,443,true,FRA,Europe,Frankfurt,178,10.68
34.90.71.209,443,443,true,FRA,Europe,Frankfurt,177,10.68
34.90.189.141,443,443,true,FRA,Europe,Frankfurt,178,10.67
34.89.247.203,443,443,true,FRA,Europe,Frankfurt,170,10.67
34.32.165.33,443,443,true,FRA,Europe,Frankfurt,176,10.66
34.65.243.237,443,443,true,FRA,Europe,Frankfurt,177,10.66
34.90.131.205,443,443,true,FRA,Europe,Frankfurt,179,10.66
34.154.105.105,443,443,true,FRA,Europe,Frankfurt,189,10.64
34.32.146.79,443,443,true,FRA,Europe,Frankfurt,180,10.64
34.91.29.251,443,443,true,FRA,Europe,Frankfurt,179,10.63
34.90.12.66,443,443,true,FRA,Europe,Frankfurt,178,10.62
34.65.41.222,443,443,true,FRA,Europe,Frankfurt,163,10.62
34.91.35.109,443,443,true,FRA,Europe,Frankfurt,180,10.62
34.32.207.31,443,443,true,FRA,Europe,Frankfurt,178,10.61
