IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
18.221.182.255,2095,0,false,ORD,North America,Chicago,228,0.00
18.220.209.91,8880,0,false,ORD,North America,Chicago,293,0.00
13.51.14.7,80,0,false,ARN,Europe,Stockholm,221,0.00
18.216.203.15,80,0,false,ORD,North America,Chicago,227,0.00
18.216.203.15,2052,0,false,ORD,North America,Chicago,227,0.00
18.223.247.130,2086,0,false,ORD,North America,Chicago,242,0.00
18.223.247.130,8880,0,false,ORD,North America,Chicago,261,0.00
3.96.215.1,2053,0,false,ORD,North America,Chicago,264,0.00
35.182.47.71,80,0,false,ORD,North America,Chicago,250,0.00
13.244.98.19,443,0,false,ORD,North America,Chicago,323,0.00
18.223.247.130,2096,0,false,ORD,North America,Chicago,260,0.00
13.51.105.208,80,0,false,ARN,Europe,Stockholm,206,0.00
13.50.105.250,80,0,false,ARN,Europe,Stockholm,208,0.00
18.223.247.130,2082,0,false,ORD,North America,Chicago,232,0.00
18.223.247.130,443,0,false,ORD,North America,Chicago,246,0.00
54.186.85.186,8443,0,false,ORD,North America,Chicago,214,0.00
54.186.85.186,2086,0,false,ORD,North America,Chicago,200,0.00
54.186.85.186,2087,0,false,ORD,North America,Chicago,207,0.00
54.186.85.186,2082,0,false,ORD,North America,Chicago,195,0.00
54.186.85.186,2096,0,false,ORD,North America,Chicago,207,0.00
54.186.85.186,2083,0,false,ORD,North America,Chicago,194,0.00
54.186.85.186,2095,80,false,ORD,North America,Chicago,193,0.00
54.186.85.186,443,80,false,ORD,North America,Chicago,190,0.00
18.223.247.130,2083,0,false,ORD,North America,Chicago,227,0.00
54.186.85.186,2053,0,false,ORD,North America,Chicago,195,0.00
54.186.85.186,2052,0,false,ORD,North America,Chicago,199,0.00
3.96.215.1,8443,0,false,ORD,North America,Chicago,262,0.00
18.228.192.190,2052,0,false,ORD,North America,Chicago,346,0.00
18.231.171.205,2052,0,false,ORD,North America,Chicago,346,0.00
54.233.223.193,2083,0,false,ORD,North America,Chicago,345,0.00
18.231.171.205,2096,0,false,ORD,North America,Chicago,352,0.00
18.228.192.190,2053,0,false,ORD,North America,Chicago,346,0.00
18.228.192.190,2095,0,false,ORD,North America,Chicago,353,0.00
18.228.192.190,2096,0,false,ORD,North America,Chicago,353,0.00
