IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.159.169.60,443,443,true,CDG,Europe,Paris,174,8.61
34.154.26.16,443,443,true,FRA,Europe,Frankfurt,206,8.60
34.90.21.238,443,443,true,FRA,Europe,Frankfurt,197,8.59
34.154.142.85,443,443,true,FRA,Europe,Frankfurt,179,8.59
34.74.105.17,80,8080,false,ATL,North America,Atlanta,239,8.59
34.118.20.128,443,443,true,FRA,Europe,Frankfurt,187,8.59
34.122.129.224,443,443,true,ORD,North America,Chicago,208,8.58
34.141.215.34,443,443,true,FRA,Europe,Frankfurt,183,8.58
34.154.232.106,443,443,true,FRA,Europe,Frankfurt,213,8.56
34.89.241.152,443,443,true,CDG,Europe,Paris,174,8.56
34.65.37.122,443,443,true,FRA,Europe,Frankfurt,190,8.55
34.65.225.189,443,443,true,FRA,Europe,Frankfurt,201,8.53
34.34.36.175,443,443,true,FRA,Europe,Frankfurt,179,8.50
34.65.252.157,443,443,true,FRA,Europe,Frankfurt,174,8.50
34.141.111.235,443,443,true,FRA,Europe,Frankfurt,169,8.50
34.32.165.33,443,443,true,FRA,Europe,Frankfurt,176,8.49
34.118.33.110,443,443,true,FRA,Europe,Frankfurt,185,8.49
34.65.187.167,443,443,true,AMS,Europe,Amsterdam,177,8.46
34.118.56.10,443,443,true,AMS,Europe,Amsterdam,189,8.45
34.65.170.192,443,443,true,FRA,Europe,Frankfurt,188,8.44
34.90.191.52,443,443,true,FRA,Europe,Frankfurt,177,8.44
34.116.241.55,443,443,true,FRA,Europe,Frankfurt,209,8.43
34.116.219.56,443,443,true,FRA,Europe,Frankfurt,208,8.43
34.86.52.48,443,443,true,IAD,North America,Ashburn,244,8.42
34.90.173.34,443,443,true,FRA,Europe,Frankfurt,179,8.41
34.118.78.109,443,443,true,FRA,Europe,Frankfurt,186,8.41
35.204.112.149,443,443,true,FRA,Europe,Frankfurt,177,8.41
34.141.73.229,443,443,true,FRA,Europe,Frankfurt,174,8.41
34.118.30.13,443,443,true,FRA,Europe,Frankfurt,217,8.40
34.116.219.56,443,443,true,FRA,Europe,Frankfurt,212,8.36
34.65.152.34,443,443,true,FRA,Europe,Frankfurt,194,8.36
34.91.240.66,443,443,true,FRA,Europe,Frankfurt,178,8.35
34.91.231.189,443,443,true,FRA,Europe,Frankfurt,210,8.33
34.91.119.173,443,443,true,FRA,Europe,Frankfurt,179,8.33
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,204,8.31
34.74.105.17,80,8080,false,ATL,North America,Atlanta,218,8.30
34.118.118.64,443,443,true,FRA,Europe,Frankfurt,184,8.27
34.74.105.17,80,8080,false,ATL,North America,Atlanta,218,8.24
34.154.24.152,443,443,true,FRA,Europe,Frankfurt,182,8.24
