IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.115.215,8443,8443,true,SIN,Asia Pacific,Singapore,106,10.99
47.74.34.38,8880,8880,false,NRT,Asia Pacific,Tokyo,78,10.99
47.74.8.238,2083,2083,true,LAX,North America,Los Angeles,259,10.99
47.236.65.232,2082,2082,false,SIN,Asia Pacific,Singapore,31,10.99
47.74.43.95,2087,2087,true,HKG,Asia Pacific,Hong Kong,314,10.98
47.251.74.226,443,443,true,LAX,North America,Los Angeles,174,10.98
8.219.50.180,2096,2096,true,SIN,Asia Pacific,Singapore,82,10.97
8.219.147.58,2086,2086,false,SIN,Asia Pacific,Singapore,10,10.97
47.236.121.23,8443,8443,true,SIN,Asia Pacific,Singapore,125,10.97
8.219.201.174,2053,2053,true,SIN,Asia Pacific,Singapore,157,10.97
8.219.78.222,8880,8880,false,SIN,Asia Pacific,Singapore,10,10.97
47.236.71.226,2095,2095,false,SIN,Asia Pacific,Singapore,22,10.97
8.209.243.137,8443,8443,true,SIN,Asia Pacific,Singapore,182,10.97
8.219.60.68,80,80,false,SIN,Asia Pacific,Singapore,10,10.97
8.219.245.232,2053,2053,true,SIN,Asia Pacific,Singapore,61,10.97
8.219.159.232,2053,2053,true,SIN,Asia Pacific,Singapore,4,10.97
8.219.73.21,8443,8443,true,SIN,Asia Pacific,Singapore,120,10.96
8.219.83.201,2082,2082,false,SIN,Asia Pacific,Singapore,3,10.96
47.74.23.99,2095,2095,false,HKG,Asia Pacific,Hong Kong,271,10.96
8.219.163.195,2083,2083,true,SIN,Asia Pacific,Singapore,102,10.96
8.219.101.72,2083,2083,true,SIN,Asia Pacific,Singapore,81,10.95
8.219.173.195,2082,2082,false,SIN,Asia Pacific,Singapore,39,10.95
47.74.13.66,2095,2095,false,SIN,Asia Pacific,Singapore,154,10.94
47.74.15.80,2052,2052,false,HKG,Asia Pacific,Hong Kong,285,10.94
8.219.63.66,2095,2095,false,SIN,Asia Pacific,Singapore,18,10.94
8.219.104.242,80,80,false,SIN,Asia Pacific,Singapore,4,10.93
47.74.34.135,8443,8443,true,NRT,Asia Pacific,Tokyo,103,10.93
47.74.14.85,2096,2096,true,SIN,Asia Pacific,Singapore,281,10.92
8.219.0.162,443,443,true,SIN,Asia Pacific,Singapore,77,10.92
47.91.29.108,2082,2082,false,SIN,Asia Pacific,Singapore,155,10.92
47.74.7.51,2052,2052,false,NRT,Asia Pacific,Tokyo,83,10.91
47.236.87.206,8443,8443,true,SIN,Asia Pacific,Singapore,114,10.91
8.219.173.233,2052,2052,false,SIN,Asia Pacific,Singapore,17,10.91
8.219.201.8,2082,2082,false,SIN,Asia Pacific,Singapore,37,10.91
47.236.116.208,2053,2053,true,SIN,Asia Pacific,Singapore,65,10.91
47.74.13.200,8080,8080,false,LAX,North America,Los Angeles,204,10.90
8.219.193.202,443,443,true,SIN,Asia Pacific,Singapore,79,10.90
8.222.208.38,80,80,false,SIN,Asia Pacific,Singapore,10,10.90
47.74.42.17,2053,2053,true,SIN,Asia Pacific,Singapore,196,10.90
47.74.11.251,80,80,false,LAX,North America,Los Angeles,191,10.89
8.219.79.74,2052,2052,false,SIN,Asia Pacific,Singapore,13,10.89
47.74.22.171,80,80,false,LAX,North America,Los Angeles,190,10.88
47.74.20.203,2087,2087,true,LAX,North America,Los Angeles,259,10.88
8.217.85.14,443,443,true,HKG,Asia Pacific,Hong Kong,97,10.88
47.74.36.154,80,80,false,LAX,North America,Los Angeles,178,10.88
8.219.6.187,8080,8080,false,SIN,Asia Pacific,Singapore,26,10.88
8.219.12.152,443,443,true,SIN,Asia Pacific,Singapore,67,10.88
8.222.229.22,80,80,false,SIN,Asia Pacific,Singapore,3,10.88
47.74.13.239,8080,8080,false,NRT,Asia Pacific,Tokyo,77,10.88
8.219.126.240,2053,2053,true,SIN,Asia Pacific,Singapore,84,10.87
8.219.198.34,8080,8080,false,SIN,Asia Pacific,Singapore,20,10.87
47.74.48.4,2082,2082,false,NRT,Asia Pacific,Tokyo,71,10.86
8.219.77.222,2096,2096,true,SIN,Asia Pacific,Singapore,90,10.86
8.219.3.53,80,80,false,SIN,Asia Pacific,Singapore,9,10.86
47.74.27.151,80,80,false,LAX,North America,Los Angeles,172,10.86
47.236.7.246,2052,2052,false,SIN,Asia Pacific,Singapore,10,10.86
8.219.250.239,443,443,true,SIN,Asia Pacific,Singapore,114,10.86
8.222.198.105,2082,2082,false,SIN,Asia Pacific,Singapore,3,10.86
8.209.243.99,8880,8880,false,NRT,Asia Pacific,Tokyo,72,10.85
8.209.243.137,2052,2052,false,LAX,North America,Los Angeles,172,10.85
47.74.34.73,2096,2096,true,NRT,Asia Pacific,Tokyo,103,10.85
8.219.228.157,2082,2082,false,SIN,Asia Pacific,Singapore,31,10.85
8.219.73.188,8443,8443,true,SIN,Asia Pacific,Singapore,43,10.85
8.219.86.200,2096,2096,true,SIN,Asia Pacific,Singapore,80,10.85
8.219.183.31,80,80,false,SIN,Asia Pacific,Singapore,31,10.85
8.218.110.180,2087,2087,true,HKG,Asia Pacific,Hong Kong,80,10.85
47.74.13.94,2095,2095,false,NRT,Asia Pacific,Tokyo,74,10.84
47.74.13.66,2082,2082,false,SIN,Asia Pacific,Singapore,154,10.84
47.242.176.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,82,10.84
8.219.67.133,2083,2083,true,SIN,Asia Pacific,Singapore,34,10.84
47.74.6.16,2087,2087,true,SIN,Asia Pacific,Singapore,207,10.84
