IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
138.2.24.114,2082,2082,false,LAX,North America,Los Angeles,177,12.08
140.238.61.224,2087,2087,true,NRT,Asia Pacific,Tokyo,147,12.08
168.138.207.64,2095,2095,false,NRT,Asia Pacific,Tokyo,72,12.08
150.230.214.218,8443,8443,true,NRT,Asia Pacific,Tokyo,77,12.08
140.238.54.164,80,80,false,NRT,Asia Pacific,Tokyo,70,12.07
131.186.61.45,2087,2087,true,LAX,North America,Los Angeles,234,12.05
140.238.33.165,8443,8443,true,NRT,Asia Pacific,Tokyo,92,12.05
150.230.192.173,2095,2095,false,LAX,North America,Los Angeles,182,12.04
150.230.208.83,2083,2083,true,NRT,Asia Pacific,Tokyo,69,12.03
138.2.6.15,2096,2096,true,NRT,Asia Pacific,Tokyo,70,12.03
140.238.53.190,2082,2082,false,LAX,North America,Los Angeles,182,12.03
151.145.65.203,2053,2053,true,LAX,North America,Los Angeles,213,12.03
138.2.20.230,80,80,false,KIX,Asia Pacific,Osaka,84,12.03
140.238.33.165,2096,2096,true,NRT,Asia Pacific,Tokyo,178,12.03
140.238.38.245,2082,2082,false,NRT,Asia Pacific,Tokyo,72,12.02
132.145.125.165,2086,2086,false,NRT,Asia Pacific,Tokyo,69,12.02
141.147.189.242,2052,2052,false,LAX,North America,Los Angeles,194,12.02
132.145.127.21,2086,2086,false,NRT,Asia Pacific,Tokyo,79,12.01
150.230.197.156,2082,2082,false,NRT,Asia Pacific,Tokyo,73,12.01
150.230.221.114,8080,8080,false,LAX,North America,Los Angeles,175,12.01
140.238.61.78,8880,8880,false,NRT,Asia Pacific,Tokyo,73,12.00
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,193,11.99
151.145.71.127,2087,2087,true,LAX,North America,Los Angeles,227,11.99
150.230.197.156,8880,8880,false,NRT,Asia Pacific,Tokyo,86,11.99
150.230.108.135,8080,8080,false,LAX,North America,Los Angeles,184,11.99
138.2.29.250,80,80,false,LAX,North America,Los Angeles,174,11.98
168.138.211.217,2052,2052,false,NRT,Asia Pacific,Tokyo,73,11.98
