IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.219.252,2095,2095,false,SIN,Asia Pacific,Singapore,6,4.41
47.74.13.200,8443,8443,true,LAX,North America,Los Angeles,261,4.41
8.218.8.142,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,4.41
47.74.9.174,2086,2086,false,LAX,North America,Los Angeles,172,4.40
8.209.212.5,2096,0,true,LAX,North America,Los Angeles,191,4.40
8.209.222.31,2083,2083,true,NRT,Asia Pacific,Tokyo,107,4.40
47.76.37.57,2086,2086,false,HKG,Asia Pacific,Hong Kong,51,4.40
8.222.224.162,80,80,false,SIN,Asia Pacific,Singapore,27,4.40
8.217.207.60,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,4.40
8.219.82.177,2096,2096,true,SIN,Asia Pacific,Singapore,128,4.40
47.74.20.133,2086,2086,false,NRT,Asia Pacific,Tokyo,94,4.40
8.209.212.5,2083,2083,true,LAX,North America,Los Angeles,204,4.40
8.222.134.170,2087,2087,true,SIN,Asia Pacific,Singapore,161,4.39
8.218.48.92,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,4.39
47.74.27.211,2052,2052,false,NRT,Asia Pacific,Tokyo,72,4.39
47.236.23.135,8880,8880,false,SIN,Asia Pacific,Singapore,16,4.39
8.219.233.6,8443,8443,true,SIN,Asia Pacific,Singapore,85,4.39
8.217.91.121,2083,2083,true,HKG,Asia Pacific,Hong Kong,51,4.39
47.74.22.171,80,80,false,KIX,Asia Pacific,Osaka,133,4.39
8.210.66.190,2082,2082,false,HKG,Asia Pacific,Hong Kong,39,4.39
47.74.58.99,80,80,false,LAX,North America,Los Angeles,183,4.38
47.243.162.49,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,4.38
47.74.11.219,2052,2052,false,NRT,Asia Pacific,Tokyo,84,4.38
8.218.2.181,2083,2083,true,HKG,Asia Pacific,Hong Kong,103,4.38
47.236.166.184,2095,2095,false,SIN,Asia Pacific,Singapore,19,4.38
47.74.26.132,8443,8443,true,LAX,North America,Los Angeles,271,4.37
8.222.159.252,2052,2052,false,SIN,Asia Pacific,Singapore,14,4.37
47.236.123.218,8880,8880,false,SIN,Asia Pacific,Singapore,25,4.37
8.219.58.64,2082,2082,false,SIN,Asia Pacific,Singapore,13,4.37
8.218.48.92,8080,8080,false,HKG,Asia Pacific,Hong Kong,46,4.37
8.219.217.81,2082,2082,false,SIN,Asia Pacific,Singapore,14,4.36
47.74.49.62,2053,2053,true,LAX,North America,Los Angeles,219,4.36
8.218.48.92,2086,2086,false,HKG,Asia Pacific,Hong Kong,68,4.35
47.242.176.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,4.35
47.91.31.231,2096,2096,true,KIX,Asia Pacific,Osaka,106,4.35
8.218.65.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,79,4.35
8.209.243.172,2096,2096,true,LAX,North America,Los Angeles,201,4.35
8.222.237.131,2086,2086,false,SIN,Asia Pacific,Singapore,6,4.35
8.222.168.234,2086,2086,false,SIN,Asia Pacific,Singapore,27,4.35
8.217.159.210,80,80,false,HKG,Asia Pacific,Hong Kong,40,4.34
8.217.49.34,2086,2086,false,HKG,Asia Pacific,Hong Kong,42,4.34
8.218.22.210,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,4.34
8.210.9.129,80,80,false,HKG,Asia Pacific,Hong Kong,43,4.34
47.236.12.73,2087,2087,true,SIN,Asia Pacific,Singapore,156,4.34
8.218.2.181,2096,2096,true,HKG,Asia Pacific,Hong Kong,68,4.33
47.250.146.18,80,443,true,SIN,Asia Pacific,Singapore,80,4.33
8.210.21.65,443,443,true,HKG,Asia Pacific,Hong Kong,32,4.33
47.245.55.99,8443,8443,true,NRT,Asia Pacific,Tokyo,173,4.33
8.222.224.162,2086,2086,false,SIN,Asia Pacific,Singapore,28,4.33
47.74.26.196,2095,2095,false,HKG,Asia Pacific,Hong Kong,164,4.33
8.222.249.98,2096,2096,true,SIN,Asia Pacific,Singapore,71,4.33
8.222.147.203,2083,2083,true,SIN,Asia Pacific,Singapore,57,4.32
47.236.11.84,2086,2086,false,SIN,Asia Pacific,Singapore,11,4.32
8.222.219.252,2086,2086,false,SIN,Asia Pacific,Singapore,3,4.31
47.74.41.87,8880,8880,false,NRT,Asia Pacific,Tokyo,77,4.31
8.209.214.222,8443,8443,true,LAX,North America,Los Angeles,188,4.31
47.245.59.133,2096,2096,true,LAX,North America,Los Angeles,203,4.31
47.91.25.66,2086,2086,false,LAX,North America,Los Angeles,173,4.31
47.91.31.235,2083,2083,true,LAX,North America,Los Angeles,267,4.30
8.218.2.181,8880,8880,false,HKG,Asia Pacific,Hong Kong,65,4.30
8.219.201.245,2087,2087,true,SIN,Asia Pacific,Singapore,77,4.30
8.218.22.210,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,4.30
8.222.223.34,443,443,true,SIN,Asia Pacific,Singapore,91,4.30
