IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
151.145.68.104,2052,2052,false,SIN,Asia Pacific,Singapore,148,11.38
152.70.106.13,2086,2086,false,NRT,Asia Pacific,Tokyo,73,11.37
141.147.185.149,8443,8443,true,SIN,Asia Pacific,Singapore,150,11.36
168.138.215.188,2052,2052,false,NRT,Asia Pacific,Tokyo,74,11.36
168.138.209.244,2052,2052,false,NRT,Asia Pacific,Tokyo,74,11.33
138.2.14.248,2053,2053,true,HKG,Asia Pacific,Hong Kong,134,11.32
138.2.6.15,8880,8880,false,SIN,Asia Pacific,Singapore,138,11.32
150.230.214.218,2087,2087,true,NRT,Asia Pacific,Tokyo,91,11.32
151.145.69.174,8880,8880,false,SIN,Asia Pacific,Singapore,142,11.32
151.145.65.203,2052,2052,false,LAX,North America,Los Angeles,187,11.31
150.230.104.197,2053,2053,true,SIN,Asia Pacific,Singapore,154,11.31
150.230.212.9,2083,2083,true,NRT,Asia Pacific,Tokyo,80,11.29
158.178.241.45,80,80,false,SIN,Asia Pacific,Singapore,2,11.28
150.230.106.21,2053,2053,true,HKG,Asia Pacific,Hong Kong,259,11.27
168.138.208.17,80,80,false,NRT,Asia Pacific,Tokyo,72,11.26
152.70.98.174,2087,2087,true,NRT,Asia Pacific,Tokyo,85,11.25
151.145.71.127,2095,2095,false,SIN,Asia Pacific,Singapore,142,11.25
151.145.66.219,2087,2087,true,NRT,Asia Pacific,Tokyo,89,11.22
141.147.167.44,2053,2053,true,NRT,Asia Pacific,Tokyo,71,11.22
151.145.66.219,2096,2096,true,NRT,Asia Pacific,Tokyo,82,11.21
158.179.182.19,2052,2052,false,SIN,Asia Pacific,Singapore,152,11.19
151.145.69.174,2082,2082,false,SIN,Asia Pacific,Singapore,156,11.18
138.3.215.11,8880,8880,false,HKG,Asia Pacific,Hong Kong,127,11.17
141.147.17.116,443,443,true,FRA,Europe,Frankfurt,178,11.17
150.230.217.63,2053,2053,true,SIN,Asia Pacific,Singapore,141,11.16
150.230.216.117,2083,2083,true,NRT,Asia Pacific,Tokyo,97,11.16
130.162.162.159,443,443,true,FRA,Europe,Frankfurt,209,11.15
